task_id,stratum,policy,status,passed,oracle_length,selected_length,selected_minus_oracle,candidate_sha256,compile_passed,error_type,error_message,total_sec_including_probe,decode_sec,verification_sec
SingleLineInfilling/HumanEval/11/L6,medium_near_long_underselection,primary_control,ok,False,20,11,-9,d4e687e77aeab2fe3158ba331fe243d3bdf50e88a8ea3b0c0f46f8e9b25ae6e3,True,UnitTestFailure,failed: ,2.899657159112394,2.5799342077225447,0.10224040038883686
SingleLineInfilling/HumanEval/11/L6,medium_near_long_underselection,best_simple_length_policy,ok,False,20,11,-9,d4e687e77aeab2fe3158ba331fe243d3bdf50e88a8ea3b0c0f46f8e9b25ae6e3,True,UnitTestFailure,failed: ,2.5562633983790874,2.033958049491048,0.1083326954394579
SingleLineInfilling/HumanEval/11/L6,medium_near_long_underselection,oracle_sufficient_canvas,ok,True,20,20,0,265342630546d63c3fd63c11e4f9f175d75ff13bed76e5d2a4e6e59ab969c24e,True,,,1.2065116519806907,1.1134576810291037,0.09305397095158696
SingleLineInfilling/HumanEval/21/L2,medium_near_long_underselection,primary_control,ok,True,21,20,-1,b2ede29ebe83f44890328c12a18d520666795b700e95c1a5221eb02d7ee2a6c1,True,,,3.4841773323714733,3.1124264979735017,0.1453995080664754
SingleLineInfilling/HumanEval/21/L2,medium_near_long_underselection,best_simple_length_policy,ok,True,21,20,-1,b2ede29ebe83f44890328c12a18d520666795b700e95c1a5221eb02d7ee2a6c1,True,,,2.9086707551032305,2.4776577465236187,0.11159583833068609
SingleLineInfilling/HumanEval/21/L2,medium_near_long_underselection,oracle_sufficient_canvas,ok,True,21,21,0,e2ca93b26c28bb9860e7602f757917c4426dd47959e5b754e825b4fd930e065f,True,,,1.2350036189891398,1.1449975799769163,0.09000603901222348
SingleLineInfilling/HumanEval/116/L0,medium_near_long_underselection,primary_control,ok,False,19,3,-16,a15a6735234d5259f170772c2c1cea29273c9a39bf9e30792e97c044eaa76541,True,UnitTestFailure,failed: ,2.8432991970330477,2.4719937751069665,0.15772904828190804
SingleLineInfilling/HumanEval/116/L0,medium_near_long_underselection,best_simple_length_policy,ok,False,19,3,-16,a15a6735234d5259f170772c2c1cea29273c9a39bf9e30792e97c044eaa76541,True,UnitTestFailure,failed: ,3.168456695973873,2.4728367114439607,0.2042798651382327
SingleLineInfilling/HumanEval/116/L0,medium_near_long_underselection,oracle_sufficient_canvas,ok,True,19,19,0,fbf309304e534f4570c80f607221b5aeb0c297564d887d2449f66295eb5d5ebe,True,,,1.2361733670113608,1.1424292669980787,0.09374410001328215
SingleLineInfilling/HumanEval/122/L0,medium_near_long_underselection,primary_control,ok,False,20,7,-13,f821c8051dce380a63f1243da120b6c633efd96125e64852f4628f8a04321d6e,True,UnitTestFailure,failed: ,2.8064959831535816,2.4762036129832268,0.11762899346649647
SingleLineInfilling/HumanEval/122/L0,medium_near_long_underselection,best_simple_length_policy,ok,False,20,7,-13,f821c8051dce380a63f1243da120b6c633efd96125e64852f4628f8a04321d6e,True,UnitTestFailure,failed: ,3.0348963886499405,2.4730301909148693,0.20123416278511286
SingleLineInfilling/HumanEval/122/L0,medium_near_long_underselection,oracle_sufficient_canvas,ok,True,20,20,0,f0cb7a28b19a178e1ee80856faedca11c7ea85db433606e54199ce6309590dab,True,,,1.244577680947259,1.1473040619748645,0.09727361897239462
SingleLineInfilling/HumanEval/158/L0,medium_near_long_underselection,primary_control,ok,False,19,3,-16,2110ecf2e74bc43250884b9d46899171457e9b18ab9c7cf3b8772233f454c826,True,UnitTestFailure,failed: t1,2.3384421672672033,2.0059286653995514,0.1213698498904705
SingleLineInfilling/HumanEval/158/L0,medium_near_long_underselection,best_simple_length_policy,ok,False,19,3,-16,2110ecf2e74bc43250884b9d46899171457e9b18ab9c7cf3b8772233f454c826,True,UnitTestFailure,failed: t1,2.616049421019852,2.02112883515656,0.18305131420493126
SingleLineInfilling/HumanEval/158/L0,medium_near_long_underselection,oracle_sufficient_canvas,ok,False,19,19,0,bde973cfa87906d0029c48b44ce8d20765d24e842abbf2e9c5a13c3c319a4c35,True,UnitTestFailure,failed: t2,1.2458600299432874,1.1444050999707542,0.10145492997253314
SingleLineInfilling/HumanEval/0/L4,short_primary_pass_harmable,primary_control,ok,True,6,6,0,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,True,,,3.445346466265619,3.082113390788436,0.1302299816161394
SingleLineInfilling/HumanEval/0/L4,short_primary_pass_harmable,best_simple_length_policy,ok,True,6,6,0,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,True,,,2.871349365450442,2.407174438238144,0.11897475924342871
SingleLineInfilling/HumanEval/0/L4,short_primary_pass_harmable,oracle_sufficient_canvas,ok,True,6,6,0,40560c20a6f56877abd19fa87e39aa5d43f3bff6b7417c68e11fc772c096a6c9,True,,,1.2228043460054323,1.1261194690014236,0.09668487700400874
SingleLineInfilling/HumanEval/1/L0,short_primary_pass_harmable,primary_control,ok,True,4,8,4,941612227d19fcbcaf9af09974119ed73b1b31ed553d2da365aaa9138c71d0d2,True,,,3.6747353868559003,3.300872690975666,0.11833443120121956
SingleLineInfilling/HumanEval/1/L0,short_primary_pass_harmable,best_simple_length_policy,ok,True,4,8,4,941612227d19fcbcaf9af09974119ed73b1b31ed553d2da365aaa9138c71d0d2,True,,,3.0738419918343425,2.619791784323752,0.12751662451773882
SingleLineInfilling/HumanEval/1/L0,short_primary_pass_harmable,oracle_sufficient_canvas,ok,True,4,4,0,75d1216ea08a8516c77e56e76872cce1f83f2c11f111641eb17b2acc5ac1122f,True,,,1.2295917780138552,1.1290527239907533,0.10053905402310193
SingleLineInfilling/HumanEval/1/L1,short_primary_pass_harmable,primary_control,ok,True,5,9,4,5183ae6eb1442e831df6aeb40db8c8df20477bac8410be4933737cb95e95b567,True,,,3.704037619754672,3.3225528188049793,0.13143253605812788
SingleLineInfilling/HumanEval/1/L1,short_primary_pass_harmable,best_simple_length_policy,ok,True,5,9,4,5183ae6eb1442e831df6aeb40db8c8df20477bac8410be4933737cb95e95b567,True,,,3.0985579397529364,2.6274316711351275,0.136107143945992
SingleLineInfilling/HumanEval/1/L1,short_primary_pass_harmable,oracle_sufficient_canvas,ok,True,5,5,0,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,,,1.2207933060708456,1.1253981030313298,0.09539520303951576
SingleLineInfilling/HumanEval/1/L4,short_primary_pass_harmable,primary_control,ok,True,7,7,0,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,,,3.7127174381166697,3.341484705917537,0.1483123106881976
SingleLineInfilling/HumanEval/1/L4,short_primary_pass_harmable,best_simple_length_policy,ok,True,7,7,0,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,,,3.1205671625211835,2.6134369783103466,0.15864610578864813
SingleLineInfilling/HumanEval/1/L4,short_primary_pass_harmable,oracle_sufficient_canvas,ok,True,7,7,0,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,,,1.2248352320748381,1.1287057879962958,0.09612944407854229
SingleLineInfilling/HumanEval/1/L8,short_primary_pass_harmable,primary_control,ok,True,6,6,0,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,,,3.6905592679977417,3.304154290817678,0.14473586343228817
SingleLineInfilling/HumanEval/1/L8,short_primary_pass_harmable,best_simple_length_policy,ok,True,6,6,0,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,,,3.0913763185963035,2.601402947679162,0.11463626753538847
SingleLineInfilling/HumanEval/1/L8,short_primary_pass_harmable,oracle_sufficient_canvas,ok,True,6,6,0,464c1465d5dbdf81777dab90f452cf22371867ee1349fed5d983ef0492c1f621,True,,,1.21922565496061,1.1242854329757392,0.09494022198487073
SingleLineInfilling/HumanEval/10/L3,short_primary_pass_harmable,primary_control,ok,False,8,11,3,2d5079f5bfe40d558e19dab51c7c16b69d69f79a1bb9585b60b7ea8774f4406c,True,UnitTestFailure,failed: ,4.0540071884170175,3.6834440072998405,0.1266852207481861
SingleLineInfilling/HumanEval/10/L3,short_primary_pass_harmable,best_simple_length_policy,ok,False,8,11,3,2d5079f5bfe40d558e19dab51c7c16b69d69f79a1bb9585b60b7ea8774f4406c,True,UnitTestFailure,failed: ,3.4378816429525614,2.9681267123669386,0.10996245313435793
SingleLineInfilling/HumanEval/10/L3,short_primary_pass_harmable,oracle_sufficient_canvas,ok,True,8,8,0,eb415b99b4337c2c8faccfe3ba52ec4bec0e76342f795896c71e6ef03cc3cd90,True,,,1.2230637200409546,1.125463182979729,0.09760053706122562
SingleLineInfilling/HumanEval/106/L0,positive_control_recoverable,primary_control,ok,True,4,4,0,55dfbf20b6987bafa8e465ffd04f59ebfb58b9e610fae0d3a530353ba73a600e,True,,,3.0615965202450752,2.716459539718926,0.12799471709877253
SingleLineInfilling/HumanEval/106/L0,positive_control_recoverable,best_simple_length_policy,ok,True,4,4,0,55dfbf20b6987bafa8e465ffd04f59ebfb58b9e610fae0d3a530353ba73a600e,True,,,3.3118878062814474,2.714550740085542,0.18477169796824455
SingleLineInfilling/HumanEval/106/L0,positive_control_recoverable,oracle_sufficient_canvas,ok,True,4,4,0,55dfbf20b6987bafa8e465ffd04f59ebfb58b9e610fae0d3a530353ba73a600e,True,,,1.2225377900176682,1.12440831202548,0.09812947799218819
SingleLineInfilling/HumanEval/12/L3,positive_control_recoverable,primary_control,ok,True,12,12,0,0af140ec060481e0ae01d5040ba9578c7a4db7213da0968fd452fe4d4576cbff,True,,,3.5164552880451083,3.144146948121488,0.14803445618599653
SingleLineInfilling/HumanEval/12/L3,positive_control_recoverable,best_simple_length_policy,ok,True,12,12,0,0af140ec060481e0ae01d5040ba9578c7a4db7213da0968fd452fe4d4576cbff,True,,,2.956929941661656,2.4746416490525007,0.10831531509757042
SingleLineInfilling/HumanEval/12/L3,positive_control_recoverable,oracle_sufficient_canvas,ok,True,12,12,0,0af140ec060481e0ae01d5040ba9578c7a4db7213da0968fd452fe4d4576cbff,True,,,1.2360947671113536,1.138797075022012,0.09729769208934158
SingleLineInfilling/HumanEval/133/L3,positive_control_recoverable,primary_control,ok,False,9,7,-2,213d48200c437fc7a355d938b728181479a19cbb35463fd3616375a1adefc578,True,UnitTestFailure,failed: This prints if this assert fails 1 (good for debugging!),2.9652821086347103,2.613165548071265,0.12697215843945742
SingleLineInfilling/HumanEval/133/L3,positive_control_recoverable,best_simple_length_policy,ok,False,9,7,-2,213d48200c437fc7a355d938b728181479a19cbb35463fd3616375a1adefc578,True,UnitTestFailure,failed: This prints if this assert fails 1 (good for debugging!),3.1736492915078998,2.6112800976261497,0.18928461614996195
SingleLineInfilling/HumanEval/133/L3,positive_control_recoverable,oracle_sufficient_canvas,ok,True,9,9,0,4ce782e063c80803e0368a885d61ed9776b5573cea1c4610d8e64bcdd9406d68,True,,,1.227222009911202,1.132411026977934,0.09481098293326795
SingleLineInfilling/HumanEval/147/L4,positive_control_recoverable,primary_control,ok,True,10,10,0,4ca09e8b1a4f2d3cf9fe96c39a437dc587815274d932a077ff4ec9ecb0224368,True,,,3.268305010162294,2.8681879630312324,0.18505465891212225
SingleLineInfilling/HumanEval/147/L4,positive_control_recoverable,best_simple_length_policy,ok,True,10,10,0,4ca09e8b1a4f2d3cf9fe96c39a437dc587815274d932a077ff4ec9ecb0224368,True,,,3.4873799309134483,2.8619879446923733,0.22583178523927927
SingleLineInfilling/HumanEval/147/L4,positive_control_recoverable,oracle_sufficient_canvas,ok,True,10,10,0,4ca09e8b1a4f2d3cf9fe96c39a437dc587815274d932a077ff4ec9ecb0224368,True,,,1.2543915070709772,1.1391616159817204,0.11522989108925685
