source,name,family,decision,trigger_count,failed_long_count,true_long_count,short_risk_count,current_pass_risk_count,true_long_precision,failed_long_recall,short_risk_rate,current_pass_risk_rate,score,heldout_fold,selection_rank,train_score,train_decision,train_trigger_count,train_failed_long_count,train_short_risk_count,train_current_pass_risk_count
previous,confidence_median_le_0p804688_AND_gap_last_le_0p601562,pairwise,policy_candidate,16,10,10,4,1,0.625,0.43478260869565216,0.25,0.0625,85.125,3,15,240.23880597014926,reject,67,30,14,3
previous,top1_last_le_0p605469_AND_gap_median_le_0p71875,pairwise,policy_candidate,15,10,10,3,0,0.6666666666666666,0.43478260869565216,0.2,0.0,91.33333333333333,3,20,236.25352112676057,reject,71,31,15,8
midcons,top1_last_le_0p667969_AND_max_remaining_plateau_steps_ge_16,pairwise,diagnostic_only,18,9,9,2,0,0.5,0.6428571428571429,0.1111111111111111,0.0,84.5,4,1,268.72727272727275,diagnostic_only,55,30,8,1
previous,confidence_max_le_0p835938_AND_confidence_first_le_0p703125,pairwise,diagnostic_only,14,9,9,3,0,0.6428571428571429,0.391304347826087,0.21428571428571427,0.0,81.21428571428571,3,1,252.58928571428572,diagnostic_only,56,29,9,2
midcons,top1_last_le_0p625_AND_max_remaining_plateau_steps_ge_16,pairwise,diagnostic_only,12,8,8,2,0,0.6666666666666666,0.36363636363636365,0.16666666666666666,0.0,75.33333333333333,3,1,268.54237288135596,diagnostic_only,59,30,8,1
previous,confidence_first_le_0p875_AND_top1_last_le_0p945312,pairwise,diagnostic_only,26,11,11,8,5,0.4230769230769231,0.5789473684210527,0.3076923076923077,0.19230769230769232,70.11538461538461,1,1,268.14285714285717,reject,112,45,34,24
midcons,confidence_min_le_0p714844_AND_last_remaining_decrease_step_ge_40,pairwise,diagnostic_only,11,6,6,1,1,0.5454545454545454,0.3333333333333333,0.09090909090909091,0.09090909090909091,56.72727272727273,1,1,254.71929824561403,reject,57,31,12,5
previous,confidence_slope_ge_0p00176711_AND_last_remaining_decrease_step_ge_40,pairwise,diagnostic_only,15,6,7,3,2,0.4666666666666667,0.4,0.2,0.13333333333333333,46.333333333333336,4,1,278.85714285714283,diagnostic_only,56,32,8,6
midcons,gap_median_le_0p751953_AND_remaining_last_le_1,pairwise,diagnostic_only,17,7,7,6,3,0.4117647058823529,0.35,0.35294117647058826,0.17647058823529413,42.05882352941177,2,1,288.4,reject,75,36,14,9
previous,top1_median_le_0p78125_AND_gap_last_le_0p84375,pairwise,diagnostic_only,23,8,8,9,4,0.34782608695652173,0.36363636363636365,0.391304347826087,0.17391304347826086,37.73913043478261,2,1,296.4375,reject,80,38,16,11
midcons,confidence_last_le_0p835938_AND_confidence_first_le_0p707031,pairwise,diagnostic_only,11,8,8,0,0,0.7272727272727273,0.4444444444444444,0.0,0.0,83.63636363636364,1,2,254.58928571428572,diagnostic_only,56,29,9,1
previous,confidence_last_le_0p835938_AND_confidence_first_le_0p703125,pairwise,diagnostic_only,14,9,9,3,0,0.6428571428571429,0.391304347826087,0.21428571428571427,0.0,81.21428571428571,3,2,252.58928571428572,diagnostic_only,56,29,9,2
midcons,gap_last_le_0p621094_AND_max_remaining_plateau_steps_ge_16,pairwise,diagnostic_only,14,9,9,3,1,0.6428571428571429,0.4090909090909091,0.21428571428571427,0.07142857142857142,79.21428571428571,3,2,262.4193548387097,diagnostic_only,62,30,9,2
midcons,gap_median_le_0p742188_AND_max_remaining_plateau_steps_ge_16,pairwise,diagnostic_only,19,9,9,3,1,0.47368421052631576,0.6428571428571429,0.15789473684210525,0.05263157894736842,78.36842105263158,4,2,262.5833333333333,reject,60,31,11,3
previous,confidence_min_le_0p878906_AND_last_remaining_decrease_step_ge_40,pairwise,diagnostic_only,15,6,7,3,2,0.4666666666666667,0.4,0.2,0.13333333333333333,46.333333333333336,4,2,274.64285714285717,reject,70,35,13,13
midcons,gap_median_le_0p751953_AND_remaining_min_le_1,pairwise,diagnostic_only,17,7,7,6,3,0.4117647058823529,0.35,0.35294117647058826,0.17647058823529413,42.05882352941177,2,2,288.4,reject,75,36,14,9
