candidate_key,row_key,canvas_tokens,seed,deployable_proxy_prefix_only,deployable_proxy_suffix_only,deployable_proxy_token_canvas,deployable_proxy_ordinary_confidence,deployable_proxy_combined
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,128.0,0,0.7291666666666666,0.4166666666666667,1.0,0.98828125,0.642578125
HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:51:b0fa3d203d20cabf,128.0,1,0.7291666666666666,0.4166666666666667,1.0,0.98828125,0.642578125
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,16.0,0,0.71875,0.3703703703703704,1.0,1.0,0.6600694444444444
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,16.0,1,0.71875,0.3703703703703704,1.0,1.0,0.6600694444444444
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,32.0,0,0.71875,0.3703703703703704,1.0,0.99609375,0.6930121527777777
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,32.0,1,0.71875,0.3703703703703704,1.0,0.99609375,0.6930121527777777
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,64.0,0,0.71875,0.3703703703703704,1.0,0.9921875,0.6926215277777777
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,64.0,1,0.71875,0.3703703703703704,1.0,0.9921875,0.6926215277777777
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,128.0,0,0.6979166666666666,0.3703703703703704,1.0,0.98046875,0.6851996527777777
HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:52:f39aee273f61c7a4,128.0,1,0.6979166666666666,0.3703703703703704,1.0,0.98046875,0.6851996527777777
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,16.0,0,0.8333333333333334,0.06666666666666667,1.0,0.9921875,0.6025520833333334
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,16.0,1,0.8333333333333334,0.06666666666666667,1.0,0.9921875,0.6025520833333334
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,32.0,0,0.7083333333333334,0.06666666666666667,1.0,0.99609375,0.5654427083333333
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,32.0,1,0.7083333333333334,0.06666666666666667,1.0,0.99609375,0.5654427083333333
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,64.0,0,0.7083333333333334,0.3333333333333333,1.0,0.984375,0.6442708333333333
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,64.0,1,0.7083333333333334,0.3333333333333333,1.0,0.984375,0.6442708333333333
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,128.0,0,0.6333333333333334,0.06666666666666667,1.0,0.9921875,0.5425520833333334
HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:55:112a940d06b0eab5,128.0,1,0.6333333333333334,0.06666666666666667,1.0,0.9921875,0.5425520833333334
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,16.0,0,0.5083333333333333,0.39999999999999997,1.0,1.0,0.5725
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,16.0,1,0.5083333333333333,0.39999999999999997,1.0,1.0,0.5725
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,32.0,0,0.5083333333333333,0.3703703703703704,1.0,0.99609375,0.5632204861111112
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=32|seed=1,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,32.0,1,0.5083333333333333,0.3703703703703704,1.0,0.99609375,0.5632204861111112
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=64|seed=0,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,64.0,0,0.05,0.39999999999999997,1.0,0.9609375,0.23109375
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=64|seed=1,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,64.0,1,0.05,0.39999999999999997,1.0,0.9609375,0.23109375
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=128|seed=0,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,128.0,0,0.05,0.39999999999999997,1.0,0.98828125,0.233828125
HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16|deployable_grid|canvas=128|seed=1,HumanEval-RandomSpanInfillingLight:63:2c138e3f7295fd16,128.0,1,0.05,0.39999999999999997,1.0,0.98828125,0.233828125
HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4|deployable_grid|canvas=16|seed=0,HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4,16.0,0,0.35416666666666663,0.39999999999999997,1.0,0.99609375,0.5591927083333332
HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4|deployable_grid|canvas=16|seed=1,HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4,16.0,1,0.35416666666666663,0.39999999999999997,1.0,0.99609375,0.5591927083333332
HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4|deployable_grid|canvas=32|seed=0,HumanEval-RandomSpanInfillingLight:128:add2f2ae6f1451b4,32.0,0,0.3958333333333333,0.3703703703703704,1.0,0.99609375,0.5961371527777778
