family,family_display,feature_variant,k,interventions,wins,losses,net,pass_count,pass_rate,population_harm,population_harm_upper95,population_harm_wilson_upper95,conditional_harm,conditional_harm_upper95,short_bucket_losses,missed_long_wins,selected_canvas_distribution,average_cost,topk_oracle_win_hits,exploratory_gate_passed,frozen_test_gate_passed
two_stage_rejector,Family B,probe_trace_fused,40,40,6,9,-3,86,0.6771653543307087,0.07086614173228346,0.12040306178247978,0.12920398705097466,0.225,0.3597923909253817,4,2,"{'10': 2, '11': 5, '12': 1, '13': 2, '14': 5, '15': 1, '16': 43, '3': 7, '4': 10, '5': 9, '6': 14, '7': 15, '8': 9, '9': 4}",0.9153083066605435,12,False,False
two_stage_rejector,Family B,probe_trace_fused,60,60,7,12,-5,84,0.6614173228346457,0.09448818897637795,0.14859406646888756,0.15790993777592072,0.2,0.303809730015353,7,2,"{'10': 2, '11': 3, '13': 1, '16': 60, '3': 7, '4': 10, '5': 8, '6': 13, '7': 10, '8': 9, '9': 4}",0.9619195826785221,13,False,False
oracle_win_distillation,Family C,probe_only,5,5,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.4507197283469412,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 10, '3': 15, '4': 11, '5': 12, '6': 15, '7': 23, '8': 11, '9': 7}",0.8290459004012634,2,True,False
oracle_win_distillation,Family C,probe_only,10,10,1,0,1,90,0.7086614173228346,0.0,0.023312410428213137,0.02936069262375269,0.0,0.2588655508930523,0,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 15, '3': 11, '4': 11, '5': 12, '6': 15, '7': 23, '8': 10, '9': 7}",0.8366531360093284,3,True,False
oracle_win_distillation,Family C,probe_only,15,15,1,1,0,89,0.7007874015748031,0.007874015748031496,0.036807182572575155,0.04325507477639201,0.06666666666666667,0.27939619361287654,1,0,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 6, '15': 1, '16': 20, '3': 7, '4': 11, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.8482962664112258,3,False,False
oracle_win_distillation,Family C,probe_only,20,20,2,3,-1,88,0.6929133858267716,0.023622047244094488,0.05991819236365664,0.0671521337988494,0.15,0.34366380431428184,1,1,"{'10': 2, '11': 8, '12': 2, '13': 2, '14': 5, '15': 1, '16': 24, '3': 7, '4': 11, '5': 12, '6': 14, '7': 23, '8': 9, '9': 7}",0.8504355310404665,5,False,False
oracle_win_distillation,Family C,probe_only,30,30,2,6,-4,85,0.6692913385826772,0.047244094488188976,0.09111255728528607,0.09924515042575026,0.2,0.35700911456165313,3,1,"{'10': 1, '11': 8, '12': 2, '13': 2, '14': 4, '16': 31, '3': 7, '4': 10, '5': 12, '6': 14, '7': 22, '8': 9, '9': 5}",0.8667624083665698,5,False,False
oracle_win_distillation,Family C,probe_only,40,40,5,8,-3,86,0.6771653543307087,0.06299212598425197,0.11078667439790986,0.11938465794017394,0.2,0.33202774505858634,4,2,"{'10': 1, '11': 6, '12': 2, '14': 3, '16': 40, '3': 7, '4': 10, '5': 10, '6': 14, '7': 21, '8': 9, '9': 4}",0.8830686486417824,8,False,False
oracle_win_distillation,Family C,probe_only,60,60,6,13,-7,82,0.6456692913385826,0.10236220472440945,0.15781210308938584,0.16727327009734946,0.21666666666666667,0.32224279575842696,7,2,"{'10': 1, '11': 4, '12': 1, '16': 60, '3': 7, '4': 10, '5': 10, '6': 11, '7': 14, '8': 7, '9': 2}",0.9501086881106506,11,False,False
oracle_win_distillation,Family C,probe_trace_fused,5,5,2,1,1,90,0.7086614173228346,0.007874015748031496,0.036807182572575155,0.04325507477639201,0.2,0.6574083180011387,1,1,"{'10': 2, '11': 9, '12': 3, '13': 2, '14': 5, '15': 1, '16': 10, '3': 18, '4': 11, '5': 12, '6': 14, '7': 23, '8': 10, '9': 7}",0.8441070199689249,2,False,False
oracle_win_distillation,Family C,probe_trace_fused,10,10,3,2,1,90,0.7086614173228346,0.015748031496062992,0.048741388070404686,0.05560274410931069,0.2,0.5069013010632024,1,1,"{'10': 2, '11': 8, '12': 3, '13': 2, '14': 5, '15': 1, '16': 15, '3': 15, '4': 11, '5': 11, '6': 14, '7': 23, '8': 10, '9': 7}",0.8493739940234328,4,False,False
oracle_win_distillation,Family C,probe_trace_fused,15,15,3,2,1,90,0.7086614173228346,0.015748031496062992,0.048741388070404686,0.05560274410931069,0.13333333333333333,0.3634417655414021,1,1,"{'10': 2, '11': 8, '12': 3, '13': 2, '14': 5, '15': 1, '16': 19, '3': 13, '4': 11, '5': 11, '6': 14, '7': 21, '8': 10, '9': 7}",0.8549387678426075,6,False,False
oracle_win_distillation,Family C,probe_trace_fused,20,20,3,4,-1,88,0.6929133858267716,0.031496062992125984,0.07062223955314123,0.0781885252981719,0.2,0.4010281173319747,2,1,"{'10': 2, '11': 8, '12': 3, '13': 2, '14': 5, '15': 1, '16': 24, '3': 10, '4': 11, '5': 11, '6': 14, '7': 20, '8': 10, '9': 6}",0.861681541703425,7,False,False
oracle_win_distillation,Family C,probe_trace_fused,30,30,5,7,-2,87,0.6850393700787402,0.05511811023622047,0.10103176743831427,0.10940786984987524,0.23333333333333334,0.3939474225223633,4,1,"{'10': 2, '11': 6, '12': 3, '13': 2, '14': 5, '15': 1, '16': 34, '3': 9, '4': 10, '5': 9, '6': 14, '7': 16, '8': 10, '9': 6}",0.8963924454044785,10,False,False
oracle_win_distillation,Family C,probe_trace_fused,40,40,6,8,-2,87,0.6850393700787402,0.06299212598425197,0.11078667439790986,0.11938465794017394,0.2,0.33202774505858634,4,2,"{'10': 2, '11': 3, '12': 2, '13': 1, '14': 5, '15': 1, '16': 44, '3': 7, '4': 10, '5': 9, '6': 14, '7': 14, '8': 10, '9': 5}",0.9229044441420651,11,False,False
oracle_win_distillation,Family C,probe_trace_fused,60,60,7,12,-5,84,0.6614173228346457,0.09448818897637795,0.14859406646888756,0.15790993777592072,0.2,0.303809730015353,7,2,"{'10': 1, '11': 3, '12': 1, '13': 1, '16': 60, '3': 7, '4': 10, '5': 8, '6': 14, '7': 10, '8': 9, '9': 3}",0.9581201463551847,13,False,False
