adjacent_pair_count_mean,final_verdict,k,left_prefix_coverage_mean,longest_contiguous_run_mean,span_width_mean,stage,step_context,steps,topk_equals_leftmostk_fraction,variant
2.353393085787452,fail,4,3.0819462227912933,3.240717029449424,5.674775928297055,early,normal,781,0.49551856594110116,C2
0.7777777777777778,fail,2,1.5793650793650793,1.7777777777777777,2.626984126984127,early,structural,126,0.6507936507936508,C2
2.6825396825396823,fail,4,3.2063492063492065,3.642857142857143,5.142857142857143,early,structural,126,0.6349206349206349,C2
0.5853658536585366,pass,2,1.2439024390243902,1.5853658536585367,3.1951219512195124,late,normal,41,0.36585365853658536,C2
2.3181818181818183,pass,4,2.3636363636363638,3.272727272727273,5.045454545454546,late,normal,22,0.2727272727272727,C2
0.7105263157894737,fail,2,1.4210526315789473,1.7105263157894737,3.736842105263158,late,normal,38,0.5526315789473685,C2
2.2962962962962963,fail,4,2.888888888888889,3.037037037037037,7.666666666666667,late,normal,27,0.4444444444444444,C2
0.8688524590163934,fail,2,1.8524590163934427,1.8688524590163935,2.1475409836065573,middle,normal,61,0.8688524590163934,C2
2.5901639344262297,fail,4,3.442622950819672,3.557377049180328,4.557377049180328,middle,normal,61,0.6885245901639344,C2
1,fail,2,0.9565217391304348,2,2,middle,structural,23,0.4782608695652174,C2
2.4782608695652173,fail,4,2.9130434782608696,2.9565217391304346,8.782608695652174,middle,structural,23,0.4782608695652174,C2
0.9259259259259259,pass,2,1.8148148148148149,1.9259259259259258,2.074074074074074,middle,structural,27,0.8518518518518519,C2
2.888888888888889,pass,4,3.5925925925925926,3.8518518518518516,4.111111111111111,middle,structural,27,0.8148148148148148,C2
0.7459016393442623,fail,2,1.540983606557377,1.7459016393442623,3.5327868852459017,late,structural,122,0.6475409836065574,C2
1.9156626506024097,fail,4,2.2409638554216866,2.289156626506024,19.59036144578313,late,structural,83,0.13253012048192772,C2
0.9180327868852459,pass,2,1.819672131147541,1.9180327868852458,2.2459016393442623,middle,normal,61,0.8852459016393442,C2
2.6885245901639343,pass,4,3.4262295081967213,3.5901639344262297,4.557377049180328,middle,normal,61,0.7213114754098361,C2
0.9419460343417825,pass,2,1.9272281275551921,1.9419460343417825,2.098119378577269,early,normal,1223,0.9321340964840557,C4
2.8192968111201964,pass,4,3.722812755519215,3.787408013082584,4.277187244480785,early,normal,1223,0.8381030253475061,C4
0.8893034825870647,pass,2,1.8308457711442787,1.8893034825870647,2.195273631840796,early,structural,804,0.849502487562189,C4
2.7475124378109452,pass,4,3.512437810945274,3.6902985074626864,4.519900497512438,early,structural,804,0.746268656716418,C4
0.7378640776699029,pass,2,1.4563106796116505,1.7378640776699028,2.650485436893204,late,structural,103,0.5728155339805825,C4
2.048780487804878,pass,4,2.4634146341463414,2.902439024390244,6.024390243902439,late,structural,41,0.3170731707317073,C4
0.7698744769874477,fail,2,1.709205020920502,1.7698744769874477,2.414225941422594,early,normal,478,0.7384937238493724,C4
2.3828451882845187,fail,4,3.00836820083682,3.292887029288703,5.205020920502092,early,normal,478,0.4895397489539749,C4
0.7336283185840708,fail,2,1.5,1.7336283185840708,2.368141592920354,early,structural,1130,0.531858407079646,C4
2.4522123893805308,fail,4,3.0849557522123896,3.4283185840707966,4.998230088495575,early,structural,1130,0.48849557522123893,C4
0.7142857142857143,pass,2,1.510204081632653,1.7142857142857142,2.6530612244897958,late,normal,49,0.5510204081632653,C4
2.2,pass,4,2.7333333333333334,3.1333333333333333,5.9,late,normal,30,0.4,C4
0.879286694101509,fail,2,1.5939643347050754,1.879286694101509,2.45679012345679,late,structural,729,0.7283950617283951,C4
2.4941995359628772,fail,4,3.2320185614849186,3.348027842227378,6.05568445475638,late,structural,431,0.5823665893271461,C4
0.6753246753246753,fail,2,1.3506493506493507,1.6753246753246753,2.8181818181818183,middle,structural,77,0.5324675324675324,C4
2.4545454545454546,fail,4,2.727272727272727,3.4285714285714284,5.51948051948052,middle,structural,77,0.4675324675324675,C4
0.6808510638297872,fail,2,1.4361702127659575,1.6808510638297873,3.382978723404255,late,normal,94,0.574468085106383,C4
2.0294117647058822,fail,4,2.5441176470588234,2.911764705882353,7.073529411764706,late,normal,68,0.3382352941176471,C4
0.6428571428571429,fail,2,1.6428571428571428,1.6428571428571428,2.642857142857143,middle,normal,28,0.6428571428571429,C4
2.1785714285714284,fail,4,2.7142857142857144,3.107142857142857,5.321428571428571,middle,normal,28,0.42857142857142855,C4
0.7647058823529411,pass,2,1.4705882352941178,1.7647058823529411,3.176470588235294,middle,structural,17,0.6470588235294118,C4
2.2941176470588234,pass,4,2.8823529411764706,3.235294117647059,6.882352941176471,middle,structural,17,0.47058823529411764,C4
0.9545454545454546,pass,2,1.9090909090909092,1.9545454545454546,2.272727272727273,middle,normal,22,0.9090909090909091,C4
2.5,pass,4,3.5,3.4545454545454546,5.7727272727272725,middle,normal,22,0.7272727272727273,C4
