task_id,oracle_bucket,baseline_selected_length,route2_primary_selected_length,route2_selected_length,route2_rescue_length,route2_selected_minus_oracle_length,route2_abs_selected_minus_oracle_length,route2_primary_stop_reason,route2_final_source,route2_trace_top1_last,route2_trace_top1_median,route2_trace_confidence_max,route2_trace_max_remaining_plateau_steps,route2_best_len,route2_best_long_len,route2_long_score_max,route2_long_ratio,classes,pairwise,oracle_length,baseline_passed,route2_passed,route2_triggered,rescue_len_ge_oracle
SingleLineInfilling/HumanEval/118/L6,17-24,12,12,12,,-12,12,global_gap_early_commit,primary,0.94140625,0.92578125,0.9765625,5.0,12.0,20.0,0.7854727378287805,0.8019853879021769,tie_fail;missed_failed_long;unchanged_fail,tie_fail,24,False,False,False,
SingleLineInfilling/HumanEval/119/L13,17-24,21,21,21,,1,1,global_gap_early_commit,primary,0.828125,0.69140625,0.92578125,3.0,3.0,14.0,0.3615387133536664,0.7102441535574602,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
SingleLineInfilling/HumanEval/124/L3,17-24,8,8,8,,-11,11,global_gap_early_commit,primary,0.859375,0.859375,0.95703125,8.0,8.0,24.0,0.8697421791565233,0.8021932695947251,tie_fail;missed_failed_long;unchanged_fail,tie_fail,19,False,False,False,
SingleLineInfilling/HumanEval/126/L0,17-24,7,7,7,,-12,12,global_gap_early_commit,primary,0.90234375,0.93359375,0.953125,8.0,7.0,16.0,0.7473469185608747,0.7005676151643673,tie_fail;missed_failed_long;unchanged_fail,tie_fail,19,False,False,False,
SingleLineInfilling/HumanEval/126/L3,17-24,7,7,7,,-10,10,global_gap_early_commit,primary,0.9765625,0.970703125,0.98828125,8.0,7.0,13.0,0.7563185004169947,0.6946837275233597,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/126/L5,25+,4,4,4,,-22,22,global_gap_early_commit,primary,0.984375,0.98828125,0.9921875,14.0,4.0,16.0,0.5904963307147651,0.5476459149737616,tie_fail;missed_failed_long;unchanged_fail,tie_fail,26,False,False,False,
SingleLineInfilling/HumanEval/128/L1,25+,6,6,6,,-23,23,global_gap_early_commit,primary,0.953125,0.95703125,0.9765625,10.0,6.0,15.0,0.9282754816594804,0.8710873072301021,tie_fail;missed_failed_long;unchanged_fail,tie_fail,29,False,False,False,
SingleLineInfilling/HumanEval/130/L7,25+,3,3,3,,-28,28,global_gap_early_commit,primary,0.859375,0.859375,0.90625,21.0,3.0,13.0,0.6970887383361456,0.7263951246315965,tie_fail;missed_failed_long;unchanged_fail,tie_fail,31,False,False,False,
SingleLineInfilling/HumanEval/137/L4,17-24,12,12,12,,-5,5,global_gap_early_commit,primary,0.85546875,0.90234375,0.9453125,5.0,12.0,14.0,0.8420648513553748,0.9572665873334469,tie_fail;missed_failed_long;unchanged_fail,tie_fail,17,False,False,False,
SingleLineInfilling/HumanEval/141/L10,17-24,9,9,9,,-11,11,global_gap_early_commit,primary,0.87109375,0.76171875,0.94140625,7.0,9.0,14.0,0.7779946996218137,0.811939356323077,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
SingleLineInfilling/HumanEval/145/L2,17-24,14,14,14,,-6,6,global_gap_early_commit,primary,0.9765625,0.98046875,0.9921875,4.0,14.0,14.0,1.13953341297548,1.0,tie_fail;missed_failed_long;unchanged_fail,tie_fail,20,False,False,False,
